Country,ISO,Latitude,Longitude,Beach,Species,IDN,ID_MJ,MPA_NAME,COUNTRY_2,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y
Seychelles,SC,-4.800230000000000,55.512911000000003,"Anse Bazarca, Anse Cachée, Anse Corail, Anse Grand Police, Anse Intendance, Anse Petite Boileau, Anse Petite Police; South Mahe",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.800230000000000,55.512911000000003,"Anse Bazarca, Anse Cachée, Anse Corail, Anse Grand Police, Anse Intendance, Anse Petite Boileau, Anse Petite Police; South Mahe",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.795118000000000,55.505502000000000,"Anse Bazarca, Anse Cachée, Anse Corail, Anse Intendance, Anse Petite Police; South Mahe",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.795118000000000,55.505502000000000,"Anse Bazarca, Anse Cachée, Anse Corail, Anse Intendance, Anse Petite Police; South Mahe",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.795118000000000,55.505502000000000,"Anse Bazarca, Anse Cachée, Anse Corail, Anse Intendance; South Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.795118000000000,55.505502000000000,"Anse Bazarca, Anse Cachée, Anse Corail, Anse Intendance; South Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.666083000000000,55.521966999999997,"Anse Bonne Care, Pezula Resort",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.666083000000000,55.521966999999997,"Anse Bonne Care, Pezula Resort",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.759796000000000,55.519182999999998,Anse Bougainville,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.795118000000000,55.505502000000000,Anse Cachée,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.795118000000000,55.505502000000000,Anse Cachée,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.795254000000000,55.535871999999998,Anse Capuchin,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.796831000000000,55.508023999999999,Anse Corail,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.774766000000000,55.524065999999998,"Anse Forbans, South East Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.774766000000000,55.524065999999998,"Anse Forbans, South East Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.294650000000000,55.681100000000001,"Anse Georgette, Lemuria Resort",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.294650000000000,55.681100000000001,"Anse Georgette, Lemuria Resort",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.761269000000000,55.470058999999999,Anse Gouvernment,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.802171000000000,55.522055999999999,Anse Grand Police,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.802171000000000,55.522055999999999,Anse Grand Police,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.783979000000000,55.499462000000001,Anse Intendance,Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.783979000000000,55.499462000000001,Anse Intendance,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.490816000000000,55.240628000000001,Anse Lascars,Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.718900000000000,55.480117000000000,"Anse Louis, West Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.718900000000000,55.480117000000000,"Anse Louis, West Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.781733000000000,55.523432999999997,"Anse Marie Louise, South East Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.781733000000000,55.523432999999997,"Anse Marie Louise, South East Mahé",Eretmochelys imbricata,,,,,,,,,,,,,,,,,,,
Seychelles,SC,-4.767883000000000,55.522416999999997,"Anse Parnell, South East Mahé",Chelonia mydas,,,,,,,,,,,,,,,,,,,
