ogc_fid,pxlval,ID,OBJECTID_1,EEZ,Country,Sovereign,Remarks,Sov_ID,EEZ_ID,ISO_3digit,MRGID,Date_chang,Area_m2,Longitude,Latitude,join_aream2
492370.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,5719.4309
492371.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,4003.5788
492372.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,30872.4468
492373.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,37723.0203
492374.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,2286.2318
492375.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,1143.0293
492376.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,2857.5359
492377.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,1143.0134
492378.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,1143.0118
492379.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,1143.0110
492380.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,1714.4859
492381.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,1142.9824
492382.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,36567.4018
492383.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,571.3125
492384.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,626748.7002
492385.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,3427.2619
492386.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,15422.5251
492387.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,81682.7504
492388.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,17135.7223
492389.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,132514.3428
492390.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,5711.6648
492391.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,7425.1165
492392.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,37125.4134
492393.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,571.1618
492394.00000000000,"1","37","29",Mauritian Exclusive Economic Zone,Mauritius,Mauritius,,"37","37",MUS,8343.000000000000000,,1277049080000.000244140625000,60.092428645513003,60.092428645513003,486061.4166
