IDN,ID_MJ,MPA_NAME,COUNTRY,REGION,DESGNATION,STATUS,CATEGORY,CATEGORY2,YEAR,ZONE,MANAGED_BY,IUCN,NOTES,AREAKM_DEC,AREAKM_ACT,PERIKM_ACT,POINT_X,POINT_Y,ogc_fid,pxlval,area_m2,int_aream2_2016
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272725.00000000000,"1",1803.7581,1803.7581
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272812.00000000000,"1",2106491.8162,1609620.4889
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272746.00000000000,"1",3607.1717,3607.1717
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272813.00000000000,"1",58294.5281,17041.8018
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272747.00000000000,"1",13691087.6219,5906891.9110
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272748.00000000000,"1",5410.7072,5410.7072
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272726.00000000000,"1",12025.0464,12025.0464
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272749.00000000000,"1",3607.0042,3607.0042
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272809.00000000000,"1",21635.6983,21635.6983
"39","236",Tim4si,Tanzania,Tanzania,Fisheries Management Area,Working,Local,CFMA,"2005",Not described,,Undetermined,,"0",449.36100000000,100.20300000000,39.46160000000,-8.69023000000,272728.00000000000,"1",1202.4967,1202.4967
