"","species","pu","amount"
"599",3,15769,0.00530013210870523
"600",3,15778,0.00388628743346134
"601",3,15804,0.000789757172630168
"602",3,15813,0.0125697949962234
"603",3,15826,4.32457892748062e-06
"604",3,15827,0.0123780422988422
"605",3,15833,0.0534495094333953
"606",3,15834,0.00926474829967716
"607",3,15849,0.00206000014820322
"608",3,15857,0.00252562754786015
"609",3,15867,0.0129402106841579
"610",3,15875,0.0389173917452905
"611",3,15910,0.0016830336163938
"612",3,1595,2.80250434650516e-05
"613",3,15956,0.0118208025391106
"614",3,1596,0.0611715380277641
"615",3,15960,0.0580129184063112
"616",3,15974,0.000113142790804151
"617",3,1598,0.0021578356445618
"618",3,15986,0.0408939862881636
"619",3,15996,0.0521873335544879
"620",3,16004,0.0270407574162786
"621",3,16006,0.0318269444099331
"622",3,16008,0.00803858102370193
"623",3,1601,0.000445551395316608
"624",3,16020,0.0138021673512697
"625",3,16061,0.0581581524802618
"626",3,16067,0.0039272344480562
"627",3,16077,0.0418237515131933
"628",3,16081,0.028367945174898
"629",3,16096,0.00199369154757261
"630",3,16104,0.00126229133420438
"631",3,16112,0.0499316735589738
"632",3,16122,0.043962523139105
"633",3,16126,0.0517171737467764
"634",3,16146,0.0136142590007046
"635",3,16147,0.0226970157704555
"636",3,16163,0.0420279959913762
"637",3,16167,0.0099170659219902
"638",3,16175,0.024915146708422
"639",3,16183,1.92698272899725e-05
"640",3,16184,0.0148300403289627
"641",3,16188,0.00139599804475671
