ogc_fid,pxlval,COUNTRY,COUNTRYAFF,int_aream2
7832.00000000000,"1",MOZAMBIQUE,Mozambique,17022.142
7833.00000000000,"1",MOZAMBIQUE,Mozambique,72783.250
7834.00000000000,"1",MOZAMBIQUE,Mozambique,1173.910
7835.00000000000,"1",MOZAMBIQUE,Mozambique,1173.907
7836.00000000000,"1",MOZAMBIQUE,Mozambique,1760.833
7837.00000000000,"1",MOZAMBIQUE,Mozambique,38738.454
7838.00000000000,"1",MOZAMBIQUE,Mozambique,78063.633
7839.00000000000,"1",MOZAMBIQUE,Mozambique,4695.516
7840.00000000000,"1",MOZAMBIQUE,Mozambique,21129.727
7841.00000000000,"1",MOZAMBIQUE,Mozambique,19368.995
7842.00000000000,"1",MOZAMBIQUE,Mozambique,1173.873
7843.00000000000,"1",MOZAMBIQUE,Mozambique,1173.872
7844.00000000000,"1",MOZAMBIQUE,Mozambique,17021.090
7845.00000000000,"1",MOZAMBIQUE,Mozambique,18781.852
7846.00000000000,"1",MOZAMBIQUE,Mozambique,1760.793
7847.00000000000,"1",MOZAMBIQUE,Mozambique,2934.639
7848.00000000000,"1",MOZAMBIQUE,Mozambique,1760.778
7849.00000000000,"1",MOZAMBIQUE,Mozambique,2347.703
7850.00000000000,"1",MOZAMBIQUE,Mozambique,14086.252
7851.00000000000,"1",MOZAMBIQUE,Mozambique,1760.775
7852.00000000000,"1",MOZAMBIQUE,Mozambique,15846.823
7853.00000000000,"1",MOZAMBIQUE,Mozambique,1173.834
7854.00000000000,"1",MOZAMBIQUE,Mozambique,1173.830
